Transformation_Type,Question_Category,Template_ID,Original_Question_Template,Updated_Question_Template
Rotate,spatial_relational,spatial_relational_1,Rotate the scene by {angle} degrees {direction}. Which object is to the {spatial_term} of {reference_object}?,Rotate the scene by {90/180/270} degrees {clockwise/counterclockwise}. Which object is to the {left/right/above/below} of {the red cube/the blue sphere/the green cylinder}?
Rotate,spatial_relational,spatial_relational_2,Rotate the scene by {angle} degrees {direction}. Which object is between {object1} and {object2} after rotation?,Rotate the scene by {90/180/270} degrees {clockwise/counterclockwise}. Which object is between {the green cube/the blue sphere} and {the yellow cylinder/the red sphere} after rotation?
Rotate,spatial_relational,spatial_relational_3,Rotate the scene by {angle} degrees {direction}. Which object is nearest to {reference_object} after rotation?,Rotate the scene by {90/180/270} degrees {clockwise/counterclockwise}. Which object is nearest to {the red cube/the blue sphere/the green cylinder} after rotation?
Rotate,ordering,ordering_1,"Rotate the scene by {angle} degrees {direction}. From left to right, which one is the {extreme_side} by their {attribute}?","Rotate the scene by {90/180/270} degrees {clockwise/counterclockwise}. From left to right, which one is the {leftmost/rightmost} by their {color/size/shape}?"
Change Viewpoint,spatial_relational,spatial_relational_1,Change the viewpoint to {view_direction}. Which object is to the {spatial_term} of {reference_object}?,Change the viewpoint to {front/back/left_side/right_side}. Which object is to the {left/right/above/below} of {the red cube/the blue sphere}?
Change Viewpoint,spatial_relational,spatial_relational_2,Change the viewpoint to {view_direction}. Which object is between {object1} and {object2}?,Change the viewpoint to {front/back/left_side/right_side}. Which object is between {the green cube/the blue sphere} and {the yellow cylinder/the red sphere}?
Change Viewpoint,spatial_relational,spatial_relational_3,Change the viewpoint to {view_direction}. Which object is nearest to {reference_object}?,Change the viewpoint to {front/back/left_side/right_side}. Which object is nearest to {the red cube/the blue sphere}?
Change Viewpoint,ordering,ordering_1,"Change the viewpoint to {view_direction}. From left to right, which one is the {extreme_side} by their {attribute}?","Change the viewpoint to {front/back/left_side/right_side}. From left to right, which one is the {leftmost/rightmost} by their {color/size/shape}?"
Swap_Attributes,counting,counting_1,Swap the {attribute} of the most frequent objects with the least frequent objects. How many objects have {color} and {shape}?,Swap the {color/size/shape} of the most frequent objects with the least frequent objects. How many objects have {red/blue/green/yellow} and {cube/sphere/cylinder}?
Swap_Attributes,counting,counting_2,Swap the {attribute} of the most frequent objects with the least frequent objects. How many objects are {relation} {reference_object}?,Swap the {color/size/shape} of the most frequent objects with the least frequent objects. How many objects are {to the left of/behind/in front of} {the red cube/the blue sphere/the green cylinder}?
Swap_Attributes,existence,existence_1,Swap the {attribute} of the most frequent objects with the least frequent objects. Is there any object with {attribute} = {value}?,Swap the {color/size/shape} of the most frequent objects with the least frequent objects. Is there any object with {color/size/shape} = {red/blue/green/small/large/cube}?
Swap_Attributes,attribute_identification,attribute_identification_1,Swap the {attribute} of the most frequent objects with the least frequent objects. Which {attribute} does the object {relation} {reference_object} have now?,Swap the {color/size/shape} of the most frequent objects with the least frequent objects. Which {color/size/shape} does the object {to the left of/behind/in front of} {the red cube/the blue sphere/the green cylinder} have now?
Swap_Attributes,attribute_identification,attribute_identification_2,Swap the {attribute} of the most frequent objects with the least frequent objects. What is the {attribute} of {unique_descriptor}?,Swap the {color/size/shape} of the most frequent objects with the least frequent objects. What is the {color/size/shape} of {the large red sphere/the small blue cube}?
Swap_Attributes,conditional,conditional_1,"Swap the {attribute} of the most frequent objects with the least frequent objects. If we delete all {color} objects now, will there be any {shape} left?","Swap the {color/size/shape} of the most frequent objects with the least frequent objects. If we delete all {red/blue/green/yellow} objects now, will there be any {cube/sphere/cylinder} left?"
Swap_Positions,spatial_relational,spatial_relational_1,Swap positions of all {color} objects with all {shape} objects. Which object is to the {spatial_term} of {reference_object} now?,Swap positions of all {red/blue/green/yellow} objects with all {cube/sphere/cylinder} objects. Which object is to the {left/right/above/below} of {the red cube/the blue sphere/the green cylinder} now?
Swap_Positions,spatial_relational,spatial_relational_2,Swap positions of all {color} objects with all {shape} objects. Which object is nearest to {reference_object} now?,Swap positions of all {red/blue/green/yellow} objects with all {cube/sphere/cylinder} objects. Which object is nearest to {the red cube/the blue sphere/the green cylinder} now?
Swap_Positions,ordering,ordering_1,"Swap positions of all {color} objects with all {shape} objects. From left to right, which is the {extreme_side} by their {attribute}?","Swap positions of all {red/blue/green/yellow} objects with all {cube/sphere/cylinder} objects. From left to right, which is the {leftmost/rightmost} by their {color/size/shape}?"
Swap_Positions,counting,counting_1,Swap positions of all {color} objects with all {shape} objects. How many objects are {relation} {reference_object} now?,Swap positions of all {red/blue/green/yellow} objects with all {cube/sphere/cylinder} objects. How many objects are {to the left of/behind/in front of} {the red cube/the blue sphere/the green cylinder} now?
Delete,counting,counting_1,Remove any object that has {attribute} = {value}. How many objects remain that have {color} and {shape}?,Remove any object that has {color/size/shape} = {red/blue/green/small/large/cube}. How many objects remain that have {red/blue/green/yellow} and {cube/sphere/cylinder}?
Delete,counting,counting_2,Delete all objects that are {relation} {reference_object}. How many objects have {color} and {shape}?,Delete all objects that are {to the left of/behind/in front of} {the red cube/the blue sphere/the green cylinder}. How many objects have {red/blue/green/yellow} and {cube/sphere/cylinder}?
Delete,existence,existence_1,Remove any object that has {attribute} = {value}. Are there any {shape} objects left?,Remove any object that has {color/size/shape} = {red/blue/green/small/large/cube}. Are there any {cube/sphere/cylinder} objects left?
